Dendrite: 0,Width,Timestep 1 (Luminosity (mid.)),Timestep 1 (Luminosity (ell.))
"[96.0, 45.0]",[4.8  2.25],193.80649999999997,nan
"[96.0, 45.0]",[4.8  2.25],193.80649999999997,195.13969999999998
"[96.0, 46.0]",[4.8 2.3],192.8066,197.55612499999998
"[96.0, 47.0]",[4.8  2.35],204.8054,203.60551999999998
"[96.0, 48.0]",[4.8 2.4],227.80309999999997,207.97175000000001
"[96.0, 49.0]",[4.8  2.45],229.8029,210.3762714285714
"[96.0, 50.0]",[4.8 2.5],224.8034,213.17956249999997
"[96.0, 51.0]",[4.8  2.55],232.80259999999998,212.58239999999998
"[96.0, 52.0]",[4.8 2.6],207.80509999999998,210.90479
"[96.0, 53.0]",[4.8  2.65],195.8063,211.80470000000003
"[96.0, 54.0]",[4.8 2.7],220.8038,210.88812499999997
"[96.0, 55.0]",[4.8  2.75],200.80579999999998,210.95863076923075
"[96.0, 56.0]",[4.8 2.8],211.8047,210.30485
"[96.0, 57.0]",[4.8  2.85],201.80569999999997,209.47159999999997
"[96.0, 58.0]",[4.8 2.9],197.8061,208.49253124999998
"[96.0, 59.0]",[4.8  2.95],193.80649999999997,208.56972941176468
"[96.0, 60.0]",[4.8 3. ],209.8049,208.1384
"[96.0, 61.0]",[4.8  3.05],200.80579999999998,206.85782631578945
"[96.0, 62.0]",[4.8 3.1],183.8075,205.60532000000003
"[96.0, 63.0]",[4.8  3.15],181.80769999999998,204.13880000000003
"[96.0, 64.0]",[4.8 3.2],174.80839999999998,204.12365
"[96.0, 65.0]",[4.8  3.25],203.8055,203.24033913043476
"[96.0, 66.0]",[4.8 3.3],183.8075,201.125768
"[97.0, 67.0]",[4.85 3.35],179.80790000000002,199.73183333333333
"[97.0, 68.0]",[4.85 3.4 ],176.8082,198.69886785714286
"[97.0, 69.0]",[4.85 3.45],170.8088,197.30915172413793
"[97.0, 70.0]",[4.85 3.5 ],158.3971,196.79243666666665
"[97.0, 71.0]",[4.85 3.55],181.80769999999998,196.79243666666665
"[97.0, 71.0]",[4.85 3.55],181.80769999999998,196.3735677419355
"[97.0, 73.0]",[4.85 3.65],157.3972,194.50867575757576
"[97.0, 74.0]",[4.85 3.7 ],173.80849999999998,193.50538823529413
"[97.0, 75.0]",[4.85 3.75],160.39690000000002,192.53086285714284
"[97.0, 76.0]",[4.85 3.8 ],159.397,191.6104777777778
"[97.0, 77.0]",[4.85 3.85],159.397,190.87496486486486
"[97.0, 78.0]",[4.85 3.9 ],164.3965,190.15185
"[97.0, 79.0]",[4.85 3.95],163.39659999999998,189.1581564102564
"[97.0, 80.0]",[4.85 4.  ],151.3978,188.774415
"[97.0, 81.0]",[4.85 4.05],173.80849999999998,187.98472926829268
"[97.0, 82.0]",[4.85 4.1 ],156.3973,187.32787619047616
"[97.0, 83.0]",[4.85 4.15],160.39690000000002,187.15299302325582
"[97.0, 84.0]",[4.85 4.2 ],179.80790000000002,186.6396088888889
"[98.0, 85.0]",[4.9  4.25],167.3962,186.6396088888889
"[98.0, 85.0]",[4.9  4.25],167.3962,185.80825106382977
"[98.0, 87.0]",[4.9  4.35],175.80829999999997,185.52252653061225
"[98.0, 88.0]",[4.9 4.4],181.80769999999998,185.56821799999997
"[98.0, 89.0]",[4.9  4.45],187.8071,185.23129423076927
"[99.0, 89.0]",[4.95 4.45],170.8088,185.27114444444447
"[99.0, 91.0]",[4.95 4.55],184.8074,184.6401267857143
"[99.0, 92.0]",[4.95 4.6 ],150.3979,184.74831403508773
"[99.0, 93.0]",[4.95 4.65],190.8068,184.49073793103452
"[99.0, 94.0]",[4.95 4.7 ],169.8089,184.03467333333336
"[100.0, 95.0]",[5.   4.75],169.8089,184.4305306451613
"[100.0, 96.0]",[5.  4.8],211.8047,184.3095412698413
"[100.0, 97.0]",[5.   4.85],176.8082,184.23920312500002
"[100.0, 98.0]",[5.  4.9],179.80790000000002,184.01719846153847
"[100.0, 99.0]",[5.   4.95],169.8089,183.63784179104476
"[101.0, 100.0]",[5.05 5.  ],173.80849999999998,183.75868985507245
"[101.0, 101.0]",[5.05 5.05],178.808,183.46780285714286
"[101.0, 102.0]",[5.05 5.1 ],163.39659999999998,183.38808873239435
"[101.0, 103.0]",[5.05 5.15],177.8081,183.47723888888888
"[101.0, 104.0]",[5.05 5.2 ],189.80689999999998,183.57764383561644
"[101.0, 105.0]",[5.05 5.25],190.8068,183.87801756756755
"[101.0, 106.0]",[5.05 5.3 ],205.80530000000002,183.87616184210526
"[102.0, 107.0]",[5.1  5.35],187.8071,184.1307858974359
"[102.0, 108.0]",[5.1 5.4],188.807,183.94949620253166
"[102.0, 109.0]",[5.1  5.45],169.8089,183.97271875
"[102.0, 110.0]",[5.1 5.5],185.8073,183.97067901234567
"[102.0, 111.0]",[5.1  5.55],183.8075,183.7807451219512
"[102.0, 112.0]",[5.1 5.6],168.3961,183.7569734939759
"[102.0, 113.0]",[5.1  5.65],181.80769999999998,183.73376785714285
"[102.0, 114.0]",[5.1 5.7],181.80769999999998,183.64929418604652
"[103.0, 115.0]",[5.15 5.75],166.3963,183.64152727272727
"[103.0, 116.0]",[5.15 5.8 ],174.80839999999998,183.49733932584272
"[103.0, 117.0]",[5.15 5.85],170.8088,183.2295577777778
"[103.0, 118.0]",[5.15 5.9 ],159.397,183.08207802197805
"[103.0, 119.0]",[5.15 5.95],169.8089,182.7702891304348
"[103.0, 120.0]",[5.15 6.  ],154.39749999999998,182.54046666666667
"[103.0, 121.0]",[5.15 6.05],161.39679999999998,182.03896595744678
"[103.0, 122.0]",[5.15 6.1 ],135.39939999999999,181.69537684210525
"[103.0, 123.0]",[5.15 6.15],149.398,181.37977708333332
"[103.0, 124.0]",[5.15 6.2 ],151.3978,181.18407525773196
"[103.0, 125.0]",[5.15 6.25],162.39669999999998,180.61263232323233
"[104.0, 126.0]",[5.2 6.3],166.3963,180.08362079207922
"[104.0, 127.0]",[5.2  6.35],162.39669999999998,180.01229705882352
"[104.0, 128.0]",[5.2 6.4],172.8086,179.97148155339806
"[104.0, 129.0]",[5.2  6.45],175.80829999999997,179.88337884615385
"[104.0, 130.0]",[5.2 6.5],170.8088,179.83504571428574
"[104.0, 131.0]",[5.2  6.55],174.80839999999998,179.60450188679246
"[104.0, 132.0]",[5.2 6.6],155.39739999999998,179.26612897196262
"[104.0, 133.0]",[5.2  6.65],143.3986,178.92476388888892
"[104.0, 134.0]",[5.2 6.7],142.3987,178.85030550458717
"[104.0, 135.0]",[5.2  6.75],170.8088,178.56437727272728
"[104.0, 136.0]",[5.2 6.8],147.3982,178.45475495495495
"[104.0, 137.0]",[5.2  6.85],166.3963,178.32030714285716
"[104.0, 138.0]",[5.2 6.9],163.39659999999998,178.08205486725663
"[104.0, 139.0]",[5.2  6.95],151.3978,177.89183771929825
"[104.0, 140.0]",[5.2 7. ],156.3973,177.63537043478263
"[104.0, 141.0]",[5.2  7.05],148.39809999999997,177.36608534482758
"[104.0, 142.0]",[5.2 7.1],146.3983,177.16122649572648
"[104.0, 143.0]",[5.2  7.15],153.3976,177.16122649572648
"[104.0, 143.0]",[5.2  7.15],153.3976,177.16122649572648
"[105.0, 145.0]",[5.25 7.25],151.3978,176.57546833333333
"[105.0, 146.0]",[5.25 7.3 ],154.39749999999998,176.47481570247936
"[105.0, 147.0]",[5.25 7.35],164.3965,176.29385409836067
"[105.0, 148.0]",[5.25 7.4 ],154.39749999999998,176.14022276422764
"[105.0, 149.0]",[5.25 7.45],157.3972,176.05357903225809
"[105.0, 150.0]",[5.25 7.5 ],165.3964,175.80033840000002
"[105.0, 151.0]",[5.25 7.55],144.39849999999998,175.60666746031745
"[105.0, 152.0]",[5.25 7.6 ],151.3978,175.43179291338583
"[105.0, 153.0]",[5.25 7.65],153.3976,175.35339140625
"[105.0, 154.0]",[5.25 7.7 ],165.3964,175.34141550387596
"[105.0, 155.0]",[5.25 7.75],173.80849999999998,175.19569153846155
"[105.0, 156.0]",[5.25 7.8 ],156.3973,175.09035648854962
"[105.0, 157.0]",[5.25 7.85],161.39679999999998,175.01691742424242
