Dendrite: 0,Width,Timestep 1 (Luminosity (mid.)),Timestep 1 (Luminosity (ell.))
"[152.0, 7.0]",[38.    1.75],128.40009999999998,nan
"[152.0, 7.0]",[38.    1.75],128.40009999999998,121.51843529411765
"[151.0, 8.0]",[37.75  2.  ],129.4,121.19248750000001
"[150.0, 9.0]",[37.5   2.25],135.39939999999999,121.19248750000001
"[150.0, 9.0]",[37.5   2.25],135.39939999999999,119.93388787878787
"[149.0, 10.0]",[37.25  2.5 ],127.4002,118.31001666666667
"[148.0, 11.0]",[37.    2.75],122.4007,117.27888235294118
"[147.0, 12.0]",[36.75  3.  ],118.4011,118.96589137931035
"[146.0, 12.0]",[36.5  3. ],107.4022,116.969184375
"[145.0, 13.0]",[36.25  3.25],119.40100000000001,116.58928450704227
"[144.0, 14.0]",[36.   3.5],111.4018,116.23382051282053
"[143.0, 15.0]",[35.75  3.75],130.3999,116.31819411764707
"[142.0, 16.0]",[35.5  4. ],133.3996,116.42233369565217
"[141.0, 17.0]",[35.25  4.25],121.4008,116.51174646464646
"[140.0, 18.0]",[35.   4.5],113.40159999999999,116.88177358490567
"[139.0, 19.0]",[34.75  4.75],127.4002,117.32238434782607
"[138.0, 20.0]",[34.5  5. ],117.4012,117.33616854838709
"[137.0, 21.0]",[34.25  5.25],125.4004,116.75416165413533
"[137.0, 22.0]",[34.25  5.5 ],108.4021,116.72454316546761
"[136.0, 23.0]",[34.    5.75],118.4011,116.35258275862067
"[135.0, 24.0]",[33.75  6.  ],102.4027,116.07853815789474
"[134.0, 25.0]",[33.5   6.25],123.4006,115.80859044585988
"[133.0, 26.0]",[33.25  6.5 ],95.4034,115.33310617283949
"[132.0, 27.0]",[33.    6.75],103.40259999999999,115.06571676646706
"[131.0, 28.0]",[32.75  7.  ],102.4027,114.87835738636363
"[130.0, 29.0]",[32.5   7.25],116.40129999999999,114.99224364640884
"[129.0, 30.0]",[32.25  7.5 ],118.4011,114.83121666666666
"[128.0, 31.0]",[32.    7.75],102.4027,114.88278848167539
"[127.0, 32.0]",[31.75  8.  ],105.4024,114.72614399999999
