,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[ 21 113],[ 34 102],[5.39136],0.3455999999999987,0,1719.876923076923,546,3207,111792,9272.475648,303.4153846153846
Spine: 1,0,[ 21 137],[ 11 143],[2.7371519999999996],5.251289467218201,0,1838.4545454545455,375,3828,60669,5032.1295359999995,115.75757575757575
Spine: 2,0,[ 40 137],[ 56 126],[2.6542079999999997],8.317040580561724,0,947.03125,272,2006,30305,2513.6179199999997,67.0
Spine: 3,0,[ 30 160],[ 11 171],[7.879679999999999],12.384156771742509,0,1122.0736842105264,328,2748,106597,8841.581568,71.77894736842106
Spine: 4,0,[ 44 177],[ 32 191],[7.382015999999999],17.790180660574286,0,2326.3932584269664,762,4095,207049,17173.472255999997,732.0898876404494
Spine: 5,0,[ 62 182],[ 58 189],[5.9719679999999995],22.544318468750813,0,2101.847222222222,742,4095,151333,12552.164351999998,343.81944444444446
Spine: 6,0,[ 74 188],[ 70 196],[3.1518719999999996],26.27486504424428,0,1862.1052631578948,535,3318,70760,5869.117439999999,168.07894736842104
Spine: 7,0,[ 84 177],[ 90 160],[5.9719679999999995],27.859134012691104,0,798.0833333333334,229,2130,57462,4766.128127999999,149.125
Spine: 8,0,[ 90 185],[ 94 175],[2.5712639999999998],30.123012871238185,0,908.0,311,2506,28148,2334.707712,101.90322580645162
Spine: 9,0,[ 97 199],[ 93 207],[10.533888],33.66311680838021,0,2458.0393700787404,656,4095,312171,25892.711423999997,339.0
Spine: 10,0,[101 192],[104 185],[4.1472],33.81946891569123,0,1541.0,475,3057,77050,6390.8351999999995,188.54
Spine: 11,0,[ 88 193],[ 86 197],[6.63552],33.82355758056518,0,2044.9375,433,3464,163595,13569.22368,773.4375
Spine: 12,0,[137 191],[141 163],[5.723135999999999],44.582455071277366,0,622.4782608695652,170,1951,42951,3562.5277439999995,58.231884057971016
Spine: 13,0,[143 197],[148 181],[7.796735999999999],48.32478260907223,0,1205.7446808510638,346,2706,113340,9400.872959999999,72.2872340425532
Spine: 14,0,[160 200],[168 179],[5.723135999999999],50.871700133404715,0,618.1449275362319,192,2032,42652,3537.7274879999995,56.028985507246375
Spine: 15,0,[158 218],[154 232],[3.31776],51.93187515262858,0,1175.625,256,2129,47025,3900.4415999999997,75.725
Spine: 16,0,[169 218],[169 228],[2.156544],54.72783131265335,0,1874.0,833,2797,48724,4041.3634559999996,125.03846153846153
Spine: 17,0,[194 204],[195 183],[6.63552],61.76667818229432,0,1152.1,351,3360,92168,7644.782591999999,57.9875
Spine: 18,0,[204 210],[204 202],[2.5712639999999998],64.81629458604016,0,2427.8709677419356,988,4095,75264,6242.697216,1281.3225806451612
Spine: 19,0,[220 207],[219 193],[4.313088],69.50135019678382,0,832.4615384615385,226,2558,43288,3590.4798719999994,74.98076923076923
Spine: 20,0,[226 209],[225 199],[3.9813119999999995],71.20593602821644,0,1227.9375,365,2863,58941,4888.802304,119.25
Spine: 21,0,[234 219],[234 230],[5.308415999999999],73.39754638291552,0,1533.3125,245,3142,98132,8139.460607999999,102.765625
Spine: 22,0,[244 204],[244 186],[4.727808],76.34183100084459,0,700.7719298245614,133,1507,39944,3313.1151359999994,61.75438596491228
Spine: 23,0,[255 221],[255 237],[7.216127999999999],79.5098310008446,0,872.080459770115,299,1912,75871,6293.044223999999,68.27586206896552
Spine: 24,0,[265 206],[263 196],[3.8154239999999997],82.6663996601434,0,1077.9782608695652,228,3678,49587,4112.944127999999,96.41304347826087
Spine: 25,0,[279 214],[280 224],[1.65888],86.2751617896675,0,1944.6,854,3222,38892,3225.8580479999996,123.55
Spine: 26,0,[279 200],[276 183],[4.810751999999999],86.91217949012959,0,846.2586206896551,180,2091,49083,4071.1403519999994,61.86206896551724
Spine: 27,0,[300 210],[301 219],[2.156544],92.4292077887746,0,1113.2692307692307,505,1999,28945,2400.8140799999996,108.1923076923077
Spine: 28,0,[303 199],[301 188],[6.054911999999999],93.78287040225659,0,1254.7945205479452,275,2964,91600,7597.670399999999,95.23287671232876
Spine: 29,0,[323 210],[328 226],[6.552575999999999],98.56078742762402,0,924.620253164557,308,2337,73045,6058.644479999999,65.84810126582279
Spine: 30,0,[315 196],[310 182],[5.5572479999999995],98.74293462084974,0,1062.7313432835822,249,2709,71203,5905.861631999999,76.5223880597015
Spine: 31,0,[326 195],[324 185],[1.8247679999999997],100.538780965213,0,1674.5454545454545,626,3326,36840,3055.65696,617.6818181818181
