,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[ 11 208],[ 19 196],[0.5793480000000001],0.0,0,30.37593984962406,6,75,4040,17.59824,6.496240601503759
Spine: 1,0,[ 47 252],[ 36 277],[0.8929800000000001],3.6898904270163246,0,76.2439024390244,14,173,15630,68.08428,9.44390243902439
Spine: 2,0,[ 75 228],[ 78 197],[0.6359760000000001],4.861282524784442,0,18.65753424657534,3,62,2724,11.865744000000001,4.205479452054795
Spine: 3,0,[ 74 263],[ 69 301],[0.810216],5.050783023528878,0,26.032258064516128,6,85,4842,21.091752000000003,3.672043010752688
Spine: 4,0,[ 96 255],[ 91 279],[0.45738000000000006],7.26605347843934,0,26.504761904761907,7,66,2783,12.122748000000001,4.438095238095238
Spine: 5,0,[121 232],[122 205],[0.7623000000000001],7.957086159925325,0,36.308571428571426,6,107,6354,27.678024000000004,6.217142857142857
Spine: 6,0,[130 255],[124 270],[0.6534000000000001],8.800029018310115,0,40.54,5,132,6081,26.488836000000003,7.653333333333333
Spine: 7,0,[156 264],[149 275],[0.7884360000000001],10.722491101121392,0,40.18232044198895,9,101,7273,31.681188000000002,7.651933701657459
Spine: 8,0,[175 273],[172 293],[0.6534000000000001],12.229669896811558,0,31.313333333333333,9,105,4697,20.460132,5.653333333333333
Spine: 9,0,[188 275],[185 296],[0.7230960000000001],12.7372200307506,0,33.36746987951807,4,86,5539,24.127884,5.325301204819277
Spine: 10,0,[202 255],[203 235],[0.6403320000000001],13.535091221979807,0,27.707482993197278,5,71,4073,17.741988000000003,4.91156462585034
Spine: 11,0,[220 280],[217 307],[0.7056720000000001],14.837204677921084,0,43.04320987654321,11,106,6973,30.374388000000003,4.179012345679013
Spine: 12,0,[232 278],[232 300],[0.69696],15.558891552652824,0,34.06875,7,84,5451,23.744556000000003,4.91875
Spine: 13,0,[247 272],[247 282],[0.5837040000000001],17.47289155265283,0,33.75373134328358,7,83,4523,19.702188000000003,9.23134328358209
Spine: 14,0,[245 241],[245 189],[0.8755560000000001],17.604891552652827,0,30.238805970149254,5,82,6078,26.475768000000002,3.5771144278606966
Spine: 15,0,[312 304],[312 346],[0.8581320000000001],21.050980986173535,0,31.908629441624367,5,86,6286,27.381816000000004,3.446700507614213
Spine: 16,0,[327 296],[335 324],[0.7797240000000001],21.772168778954384,0,42.17877094972067,8,109,7550,32.887800000000006,4.88268156424581
Spine: 17,0,[351 282],[362 301],[0.7579440000000001],23.399508987249657,0,20.591954022988507,4,54,3583,15.607548000000001,7.2011494252873565
Spine: 18,0,[350 255],[336 233],[0.6751800000000001],24.250758388618234,0,23.54193548387097,5,68,3649,15.895044000000002,5.664516129032258
Spine: 19,0,[417 262],[417 278],[0.5227200000000001],28.37293050218322,0,27.225,3,85,3267,14.231052000000002,6.441666666666666
Spine: 20,0,[422 243],[422 221],[0.8886240000000001],28.702930502183218,0,25.514705882352942,4,73,5205,22.672980000000003,5.401960784313726
Spine: 21,0,[435 241],[436 214],[0.7666560000000001],29.527613546100056,0,28.982954545454547,7,72,5101,22.219956000000003,4.568181818181818
Spine: 22,0,[451 239],[452 207],[1.036728],30.577760174393365,0,33.33613445378151,5,92,7934,34.560504,4.109243697478991
Spine: 23,0,[456 270],[456 300],[1.0062360000000001],30.94819926390924,0,21.549783549783548,5,62,4978,21.684168000000003,3.774891774891775
Spine: 24,0,[493 245],[493 225],[0.60984],34.446199263909236,0,22.235714285714284,5,63,3113,13.560228000000002,4.235714285714286
