Dendrite: 0,Width,Timestep 1 (Luminosity (mid.)),Timestep 1 (Luminosity (ell.))
"[141.0, 7.0]",[14.1  0.7],166.3963,nan
"[141.0, 7.0]",[14.1  0.7],166.3963,184.6947909090909
"[141.0, 8.0]",[14.1  0.8],188.807,184.59261176470588
"[140.0, 9.0]",[14.   0.9],168.809,183.20432499999998
"[140.0, 10.0]",[14.  1.],165.3964,182.80478695652175
"[140.0, 11.0]",[14.   1.1],190.8068,183.18968846153845
"[140.0, 12.0]",[14.   1.2],179.80790000000002,184.73621034482758
"[139.0, 13.0]",[13.9  1.3],201.80569999999997,184.7051264705882
"[139.0, 14.0]",[13.9  1.4],186.80719999999997,184.98366216216212
"[139.0, 15.0]",[13.9  1.5],179.80790000000002,185.4703925
"[138.0, 16.0]",[13.8  1.6],172.8086,184.08044
"[138.0, 17.0]",[13.8  1.7],163.39659999999998,184.08044
"[138.0, 17.0]",[13.8  1.7],163.39659999999998,183.00461458333334
"[138.0, 19.0]",[13.8  1.9],224.8034,183.2723037735849
"[137.0, 20.0]",[13.7  2. ],168.3961,181.9107931034483
"[137.0, 21.0]",[13.7  2.1],162.39669999999998,181.5547262295082
"[137.0, 22.0]",[13.7  2.2],154.39749999999998,181.8168451612903
"[137.0, 23.0]",[13.7  2.3],197.8061,182.0586909090909
"[136.0, 24.0]",[13.6  2.4],177.8081,181.9654014925373
"[136.0, 25.0]",[13.6  2.5],175.80829999999997,181.72173970588233
"[136.0, 26.0]",[13.6  2.6],165.3964,181.38370144927535
"[136.0, 27.0]",[13.6  2.7],158.3971,181.31833714285713
"[136.0, 28.0]",[13.6  2.8],176.8082,182.16421333333332
"[135.0, 29.0]",[13.5  2.9],184.8074,182.02795657894734
"[135.0, 30.0]",[13.5  3. ],171.8087,182.4925818181818
"[135.0, 31.0]",[13.5  3.1],217.8041,182.85435999999999
"[135.0, 32.0]",[13.5  3.2],174.80839999999998,183.6496726190476
"[134.0, 33.0]",[13.4  3.3],185.8073,185.10783258426966
"[134.0, 34.0]",[13.4  3.4],238.80200000000002,186.1414097826087
