,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[55 88],[ 61 113],[0.5300000000000001],0.6515978775899982,0,15.885203773584905,3,31,841,8.419158000000001,0.6037132075471698
Spine: 1,0,[65 75],[67 82],[0.8700000000000002],1.9243909933631524,0,40.53617586206896,10,79,3526,35.266473000000005,10.3323
Spine: 2,0,[66 58],[62 34],[0.4100000000000001],2.35541282171267,0,28.07036341463415,7,63,1150,11.508849000000005,0.07316341463414634
Spine: 3,0,[77 77],[79 93],[0.4900000000000001],3.1280880620478504,0,37.07792448979592,9,74,1816,18.168183000000003,0.06121836734693877
Spine: 4,0,[74 55],[69 27],[0.5200000000000001],3.193847656969993,0,51.1804923076923,22,91,2661,26.613856000000002,0.0
Spine: 5,0,[101  87],[101 125],[0.5000000000000001],5.671965327772314,0,15.418458000000001,2,36,770,7.709229000000001,9.239076
Spine: 6,0,[116  48],[116  10],[0.5100000000000001],7.571965327772315,0,27.369811764705883,6,47,1395,13.958604000000003,0.0
Spine: 7,0,[123  46],[123  10],[0.5100000000000001],7.8719653277723145,0,23.74272352941177,4,46,1210,12.108789000000003,0.0
Spine: 8,0,[131  76],[128  89],[0.4100000000000001],8.801863730190314,0,25.80229756097561,3,71,1057,10.578942000000001,0.19510243902439023
Spine: 9,0,[136  63],[138  49],[0.37000000000000005],9.068334575517522,0,33.672308108108105,3,76,1245,12.458754,0.29726756756756756
Spine: 10,0,[138  77],[136  89],[0.5200000000000001],10.109359961657605,0,18.248175,2,36,948,9.489051000000002,1.3460192307692307
Spine: 11,0,[146  85],[142 111],[0.4300000000000001],10.392202674132221,0,29.276141860465117,8,56,1258,12.588741000000002,0.0
Spine: 12,0,[170  68],[170  60],[0.6200000000000001],12.60533975912207,0,23.981472580645157,3,53,1486,14.868513000000002,3.983472580645161
Spine: 13,0,[182  86],[186 114],[0.8300000000000002],13.568378138810642,0,48.74211325301204,17,81,4045,40.455954000000006,0.012046987951807227
Spine: 14,0,[209  71],[212  82],[0.6500000000000001],16.41858187026542,0,13.275595384615386,1,55,862,8.629137000000002,0.061532307692307685
Spine: 15,0,[217  52],[211  33],[0.56],17.72998785399665,0,29.33635178571428,7,58,1642,16.428357000000002,0.0
Spine: 16,0,[276  68],[282  98],[0.38000000000000006],23.10828127777266,0,26.89204736842105,5,55,1021,10.218978000000002,0.05262631578947368
Spine: 17,0,[278  41],[271  23],[0.3500000000000001],24.018188434840216,0,7.770651428571429,1,22,271,2.719728000000001,0.0
Spine: 18,0,[289  55],[294  69],[0.4000000000000001],24.51956584791826,0,16.29837,1,40,651,6.519348000000001,0.2249775
Spine: 19,0,[298  32],[290  22],[0.3500000000000001],26.43435584569669,0,22.22634857142857,2,48,777,7.779222000000002,0.028568571428571426
Spine: 20,0,[340   6],[326  10],[0.30000000000000004],31.279358939769878,0,22.831049999999998,5,46,684,6.849315000000001,0.06666
Spine: 21,0,[357   6],[352  10],[0.56],32.55992818479188,0,41.263730357142855,13,78,2310,23.107689000000004,9.391917857142857
Spine: 22,0,[408  29],[408  53],[0.6800000000000002],37.44225850370898,0,12.27818382352941,1,39,834,8.349165000000001,0.01470441176470588
