,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[ 39 216],[ 39 192],[0.43124400000000007],2.0550700053838735,0,22.594901010101008,7,43,2236,9.743915491200001,0.8381696969696969
Spine: 1,0,[ 75 240],[ 73 260],[0.313632],4.489814197482992,0,44.89511250000001,8,91,3232,14.080543923600004,1.1785958333333335
Spine: 2,0,[ 87 225],[ 87 213],[0.29185200000000006],5.201476508022694,0,61.621288059701506,18,104,4128,17.984296162800007,4.022359701492537
Spine: 3,0,[143 247],[143 277],[0.50094],8.929411019283322,0,76.57561913043479,31,140,8806,38.35979064720001,4.621883478260869
Spine: 4,0,[159 241],[159 259],[0.30927600000000005],9.98541101928332,0,87.22538028169015,18,191,6193,26.976716712000005,4.529184507042253
Spine: 5,0,[192 222],[192 202],[0.30056400000000005],12.163411019283322,0,34.44741014492753,8,72,2376,10.3536513828,1.3883246376811593
Spine: 6,0,[226 226],[227 212],[0.265716],14.861246576017015,0,79.54755901639342,28,143,4852,21.1370591916,3.4786442622950817
Spine: 7,0,[255 247],[252 268],[0.322344],16.415064646599674,0,52.48185270270271,13,100,3883,16.917210327600003,1.293122972972973
Spine: 8,0,[301 228],[301 212],[0.296208],19.370891358669343,0,29.330235294117646,6,51,1994,8.687850336,6.839825
Spine: 9,0,[320 246],[320 267],[0.36590400000000006],20.597721402493654,0,59.509973809523814,21,129,4998,21.774937456800004,1.8087619047619048
Spine: 10,0,[344 242],[344 256],[0.28749600000000003],22.210210831091313,0,67.88765757575757,16,131,4480,19.5174300024,2.4659590909090907
Spine: 11,0,[380 248],[376 269],[0.34412400000000004],24.699144056300607,0,30.312317721518987,4,59,2394,10.431196023600002,1.3026430379746836
Spine: 12,0,[426 247],[430 263],[0.47480400000000006],27.497440451873604,0,104.30386513761468,53,182,11369,49.52389238280001,2.8052183486238533
