,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[587 139],[740 187],[49.64472],22.735884592866768,0,90.83246073298429,26,155,86745,4509.352080000001,8.0
Spine: 1,0,[560 265],[729 299],[69.190704],54.13884455372071,0,51.45229151014275,15,98,68483,3560.020272,9.686701728024042
Spine: 2,0,[425 569],[257 707],[52.763760000000005],114.0560489098738,0,49.52709359605911,16,101,50270,2613.2356800000002,29.673891625615763
Spine: 3,0,[472 550],[395 643],[57.858192],116.96432621726116,0,56.3611859838275,18,104,62730,3260.9563200000002,8.680143755615454
Spine: 4,0,[581 497],[655 423],[70.126416],125.27241463616109,0,55.78131949592291,15,108,75249,3911.744016,9.003706449221646
Spine: 5,0,[643 608],[804 595],[29.474928000000002],144.08852663311794,0,69.28042328042328,19,141,39282,2042.035488,8.010582010582011
Spine: 6,0,[621 765],[703 754],[54.999072000000005],179.80927870139422,0,40.390359168241964,17,61,42733,2221.432272,8.340264650283554
Spine: 7,0,[512 790],[373 806],[135.886176],182.44647945183252,0,105.04475899005355,23,177,274587,14274.130608000001,8.640397857689365
Spine: 8,0,[665 832],[818 813],[65.23992],196.14885233504324,0,59.7410358565737,16,109,74975,3897.5004000000004,8.0
Spine: 9,0,[645 949],[734 943],[28.903104000000003],221.52123697285094,0,43.30755395683453,12,79,24079,1251.7227360000002,8.0
