,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[104 229],[ 96 192],[0.8799120000000001],0.6432113088676823,0,18.094059405940595,20.198019801980198,16.277227722772277,14.910891089108912,15.5,14.831683168316832,19.252475247524753,22.326732673267326,6,4,1,0,1,1,1,2,56,58,52,64,43,45,70,77,3655,4080,3288,3012,3131,2996,3889,4510,15.921180000000001,17.77248,14.322528000000002,13.120272000000002,13.638636000000002,13.050576000000001,16.940484,19.645560000000003,3.1534653465346536,3.272277227722772,3.1534653465346536,2.9554455445544554,2.6831683168316833,2.594059405940594,2.381188118811881,3.391089108910891
Spine: 1,0,[143 257],[164 292],[1.102068],2.374138269222265,0,54.59288537549407,56.50592885375494,50.44268774703557,49.84584980237154,50.81818181818182,46.52173913043478,49.715415019762844,39.1501976284585,5,6,7,7,5,7,5,3,171,169,153,142,130,138,144,149,13812,14296,12762,12611,12857,11770,12578,9905,60.16507200000001,62.273376000000006,55.591272000000004,54.933516000000004,56.005092000000005,51.270120000000006,54.78976800000001,43.14618000000001,2.8932806324110674,2.6719367588932808,2.3122529644268774,2.4426877470355732,2.438735177865613,2.505928853754941,2.2450592885375493,3.122529644268775
Spine: 2,0,[163 214],[155 195],[0.60984],4.931898149458157,0,56.535714285714285,42.91428571428571,40.02857142857143,42.57857142857143,28.7,35.18571428571428,35.52857142857143,35.378571428571426,8,3,2,7,0,6,7,7,125,124,106,135,85,97,84,117,7915,6008,5604,5961,4018,4926,4974,4953,34.477740000000004,26.170848000000003,24.411024,25.966116000000003,17.502408000000003,21.457656000000004,21.666744,21.575268,5.3,4.0285714285714285,3.45,3.6285714285714286,3.5428571428571427,3.8285714285714287,4.364285714285714,3.8714285714285714
Spine: 3,0,[181 209],[177 189],[0.701316],6.000596142479511,0,18.47826086956522,18.48447204968944,16.055900621118013,15.894409937888199,15.540372670807454,16.385093167701864,16.41614906832298,19.428571428571427,5,1,0,2,4,2,2,3,54,52,58,64,54,44,73,53,2975,2976,2585,2559,2502,2638,2643,3128,12.959100000000001,12.963456,11.26026,11.147004,10.898712000000002,11.491128000000002,11.512908000000001,13.625568000000001,3.9937888198757765,3.31055900621118,3.3975155279503104,3.229813664596273,3.0,3.2919254658385095,4.043478260869565,3.7080745341614905
Spine: 4,0,[189 231],[191 256],[0.810216],6.316778054296294,0,24.822580645161292,36.81182795698925,37.25268817204301,37.24731182795699,28.881720430107528,27.596774193548388,29.35483870967742,24.63978494623656,4,5,5,5,5,4,4,3,81,105,124,115,87,83,81,93,4617,6847,6929,6928,5372,5133,5460,4583,20.111652000000003,29.825532000000003,30.182724000000004,30.178368000000003,23.400432000000002,22.359348000000004,23.783760000000004,19.963548000000003,4.048387096774194,3.4946236559139785,3.924731182795699,3.8440860215053765,3.8548387096774195,4.005376344086022,3.8548387096774195,4.198924731182796
Spine: 5,0,[219 198],[219 166],[0.9757440000000002],8.40261526937331,0,30.129464285714285,26.040178571428573,37.075892857142854,38.80357142857143,27.09375,28.825892857142858,27.915178571428573,26.799107142857142,5,2,1,3,1,2,1,3,100,88,116,132,114,122,117,101,6749,5833,8305,8692,6069,6457,6253,6003,29.398644000000004,25.408548000000003,36.17658,37.862352,26.436564000000004,28.126692000000002,27.238068000000002,26.149068000000003,2.7232142857142856,2.2142857142857144,2.611607142857143,2.544642857142857,2.2232142857142856,2.4598214285714284,2.0625,2.6830357142857144
Spine: 6,0,[238 226],[238 250],[0.7666560000000001],10.061685274757183,0,42.17613636363637,54.88636363636363,58.89204545454545,58.90340909090909,52.63068181818182,45.85227272727273,48.64204545454545,47.77272727272727,7,6,6,9,5,6,5,5,130,140,138,141,125,112,125,134,7423,9660,10365,10367,9263,8070,8561,8408,32.334588000000004,42.07896,45.14994000000001,45.158652000000004,40.349628,35.15292,37.291716,36.625248000000006,4.926136363636363,4.6022727272727275,3.8579545454545454,4.625,4.670454545454546,4.670454545454546,5.051136363636363,4.784090909090909
Spine: 7,0,[343 249],[338 273],[0.792792],16.951912237614398,0,70.87912087912088,102.9010989010989,79.52747252747253,115.18131868131869,83.52197802197803,76.51648351648352,64.2032967032967,77.47252747252747,8,13,9,24,11,11,12,15,148,237,182,237,212,175,232,221,12900,18728,14474,20963,15201,13926,11685,14100,56.192400000000006,81.57916800000001,63.048744000000006,91.314828,66.215556,60.66165600000001,50.899860000000004,61.41960000000001,4.247252747252747,4.5989010989010985,4.126373626373627,5.065934065934066,4.445054945054945,4.247252747252747,4.247252747252747,5.076923076923077
Spine: 8,0,[349 228],[349 210],[0.7753680000000001],17.18746155696736,0,30.44943820224719,35.79213483146067,32.37640449438202,42.640449438202246,37.43258426966292,39.37640449438202,27.230337078651687,36.96629213483146,6,5,4,9,4,5,4,6,80,97,92,129,113,98,87,97,5420,6371,5763,7590,6663,7009,4847,6580,23.609520000000003,27.752076000000002,25.103628000000004,33.06204,29.024028000000005,30.531204000000002,21.113532000000003,28.662480000000002,5.022471910112359,4.455056179775281,4.48314606741573,4.943820224719101,4.044943820224719,4.792134831460674,4.106741573033708,4.898876404494382
Spine: 9,0,[368 251],[368 279],[1.0193040000000002],18.44146155696736,0,40.3034188034188,40.376068376068375,51.35470085470085,80.41880341880342,53.05555555555556,41.995726495726494,36.3974358974359,34.39316239316239,5,6,11,20,12,7,3,5,109,108,113,185,122,117,115,90,9431,9448,12017,18818,12415,9827,8517,8048,41.081436000000004,41.155488000000005,52.34605200000001,81.971208,54.07974000000001,42.806412,37.100052000000005,35.05708800000001,3.1452991452991452,3.235042735042735,2.9572649572649574,3.41025641025641,3.0854700854700856,2.9444444444444446,2.8974358974358974,3.264957264957265
